model,price,miles
Used 2016 Honda Civic EX-T,"20,999",
Used 2018 Honda Civic EX,"15,997","73,194 miles"
Certified 2020 Honda Civic EX,"23,316","36,370 miles"
Used 2020 Honda Civic Sport,"22,988","35,710 miles"
Used 2020 Honda Civic Sport,"26,500","4,620 miles"
Used 2016 Honda Civic EX,"19,981","46,242 miles"
Used 2012 Honda Civic LX,"10,985","137,300 miles"
Used 2019 Honda Civic LX,"20,995","50,018 miles"
Used 2019 Honda Civic Sport,"20,800","20,106 miles"
Certified 2020 Honda Civic LX,"22,995","28,004 miles"
Certified 2020 Honda Civic Sport,"23,998","50,394 miles"
Used 2006 Honda Civic LX,"6,578","172,178 miles"
Certified 2020 Honda Civic EX,"23,795","40,755 miles"
Certified 2020 Honda Civic Sport,"22,955","31,227 miles"
Used 2008 Honda Civic Hybrid Sedan,"6,495","164,202 miles"
Used 2022 Honda Civic Sport Touring,"33,955","3,688 miles"
Certified 2018 Honda Civic EX,"24,795","32,347 miles"
Certified 2018 Honda Civic EX,"22,998","38,666 miles"
Certified 2022 Honda Civic Sport,"29,955","2,414 miles"
Used 2014 Honda Civic EX,"16,998","66,555 miles"
Used 2020 Honda Civic Sport,"23,987","42,046 miles"
Used 2018 Honda Civic Sport,"22,621","56,864 miles"
Used 2020 Honda Civic LX,"23,631","8,517 miles"
Used 2021 Honda Civic Sport,"23,831","46,605 miles"
Used 2018 Honda Civic Type R,"32,990","35,783 miles"
Used 2019 Honda Civic Sport,"19,490","19,132 miles"
Used 2021 Honda Civic Sport,"24,990","8,546 miles"
Used 2017 Honda Civic EX-L,"20,588","37,792 miles"
Used 2020 Honda Civic EX,"22,988","40,439 miles"
Used 2019 Honda Civic LX,"19,988","37,966 miles"
Used 2018 Honda Civic EX-T,"22,900","24,905 miles"
Used 2019 Honda Civic LX,"17,900","37,349 miles"
Used 2003 Honda Civic LX,"12,995","11,555 miles"
Used 2016 Honda Civic LX,,"85,418 miles"
Certified 2020 Honda Civic Sport,"25,795","23,860 miles"
Certified 2020 Honda Civic LX,"23,175","34,785 miles"
