model,price,miles,listing_type,year
EX,15997,73194 ,Used,2018
EX,23316,36370 ,Certified,2020
Sport,22988,35710 ,Used,2020
Sport,26500,4620 ,Used,2020
EX,19981,46242 ,Used,2016
LX,10985,137300 ,Used,2012
LX,20995,50018 ,Used,2019
Sport,20800,20106 ,Used,2019
LX,22995,28004 ,Certified,2020
Sport,23998,50394 ,Certified,2020
LX,6578,172178 ,Used,2006
EX,23795,40755 ,Certified,2020
Sport,22955,31227 ,Certified,2020
Hybrid Sedan,6495,164202 ,Used,2008
Sport Touring,33955,3688 ,Used,2022
EX,24795,32347 ,Certified,2018
EX,22998,38666 ,Certified,2018
Sport,29955,2414 ,Certified,2022
EX,16998,66555 ,Used,2014
Sport,23987,42046 ,Used,2020
Sport,22621,56864 ,Used,2018
LX,23631,8517 ,Used,2020
Sport,23831,46605 ,Used,2021
Type R,32990,35783 ,Used,2018
Sport,19490,19132 ,Used,2019
Sport,24990,8546 ,Used,2021
EX-L,20588,37792 ,Used,2017
EX,22988,40439 ,Used,2020
LX,19988,37966 ,Used,2019
EX-T,22900,24905 ,Used,2018
LX,17900,37349 ,Used,2019
LX,12995,11555 ,Used,2003
Sport,25795,23860 ,Certified,2020
LX,23175,34785 ,Certified,2020
EX-L,21794,49181 ,Used,2017
Sport,29996,15876 ,Certified,2022
LX,24998,30685 ,Certified,2019
EX,28550,8456 ,Certified,2022
Sport,23721,65084 ,Used,2021
EX-L,17991,51067 ,Used,2015
LX,23881,35870 ,Used,2020
LX,10961,164906 ,Used,2015
Sport Touring,28465,20971 ,Used,2022
Sport Touring,28481,16643 ,Used,2022
Sport,21981,33229 ,Used,2019
Sport,24481,53504 ,Used,2021
LX,21481,28316 ,Used,2019
LX,22981,14177 ,Used,2020
EX,24981,22778 ,Used,2020
EX,21981,74510 ,Used,2017
EX,24981,23837 ,Used,2020
LX,16981,47686 ,Used,2014
EX,22981,43830 ,Used,2017
EX-T,22250,40250 ,Used,2018
EX,28888,7245 ,Used,2021
SE,18988,52482 ,Used,2015
LX,21888,30567 ,Certified,2019
EX-L,27998,19033 ,Used,2019
EX,23500,54035 ,Certified,2018
EX,26998,37745 ,Certified,2021
EX,15498,83909 ,Used,2014
LX,21500,48756 ,Certified,2019
EX,18500,72246 ,Used,2016
LX,8888,156731 ,Used,2010
Type R,42955,20928 ,Used,2020
EX-L,16955,63365 ,Used,2014
LX,14190,86770 ,Used,2014
Si,9500,130200 ,Used,2008
LX,13500,41213 ,Used,2010
LX,11800,72126 ,Used,2010
Si,28991,15745 ,Used,2020
EX,24860,26712 ,Used,2019
LX,15591,42294 ,Used,2012
Sport,24413,32456 ,Used,2020
Sport,26069,22669 ,Used,2022
EX,26785,21802 ,Used,2020
Sport,27111,15769 ,Used,2020
LX,15609,104339 ,Used,2016
EX,24811,27520 ,Used,2020
